model_uuid,conv_cnt,linear_cnt,relu_cnt,lrelu_cnt,avg_pooling_cnt,max_pooling_cnt,out_features,linear_input_features,conv_kernel_size_2,conv_kernel_size_3,time
f36998fc-50cc-44e6-ac87-6974ef93f906,5,2,2,3,2,1,120,18816,5,5,0.0082021713256835
dc9b9944-1adb-4f74-acaa-cbb1f4290848,3,2,2,1,1,1,17,26136,3,3,0.0049997329711914
7dc33bba-42bf-4666-bccc-380d51db2421,4,3,1,3,2,0,25,49152,4,4,0.0044002056121826
e8d8988b-0ada-4a1b-a4a7-36b6498009bc,3,1,2,1,1,1,274,31104,3,3,0.0041999816894531
846f6cd0-42c4-4877-92db-0d5debb5a536,4,1,0,4,1,1,92,13872,4,4,0.004000186920166
9ac292c9-505b-42b9-bca0-81add6d82597,7,2,7,0,1,2,83,6144,7,7,0.0050002574920654
6af73e40-4665-481b-9d14-fdec533e6ce0,7,1,0,7,1,2,139,6144,7,7,0.0081998348236083
32567f97-c56c-4780-a3e4-e2a991d379da,4,1,3,1,0,2,31,13872,4,4,0.0030016422271728
615ffb09-6f7d-47aa-8a7a-d819841cbd29,3,2,3,0,2,0,73,1944,3,3,0.002599811553955
36387e97-98ea-47c0-88e8-9708f50d8129,4,3,0,4,2,0,71,3072,4,4,0.0038000106811523
b2bd5853-ad06-4839-8d0e-f5b7ccbb8067,6,1,0,6,0,3,57,12288,6,6,0.0067994117736816
8d7659af-21d6-4ae1-9851-38d54cc7d626,6,2,2,4,2,1,72,49152,6,6,0.0087997436523437
0b748d0d-3271-4713-af95-c1c55ed99f10,4,3,0,4,2,1,74,48,4,4,0.0019998550415039
1a5cf5d4-b588-419e-a079-425e8cdd9981,4,1,0,4,1,1,242,768,4,4,0.0023999214172363
28892776-c9a8-4cce-8be8-019fb286a440,3,1,1,2,1,2,228,5400,3,3,0.0035998821258544
33a08b1f-e099-47af-a1ae-5ad9d6555054,3,2,3,0,1,1,135,21600,3,3,0.0042009830474853
3ac109eb-6543-4f15-a32b-9d2a41935824,6,2,5,1,1,2,28,6912,6,6,0.0041986465454101
9eb262e7-b44d-41d3-93bd-a2e0aee26401,4,2,4,0,2,0,140,12288,4,4,0.0042001724243164
57036972-60b4-41f6-8026-0337b81c178b,6,3,3,3,1,2,29,1728,6,6,0.0023993968963623
17e9b208-2819-4c6f-952b-0d266cf3daed,3,3,1,2,0,2,10,6144,3,3,0.0017997741699218
b341b215-dc13-4d41-932c-201830a842e9,4,1,1,3,2,0,84,2352,4,4,0.0015998840332031
ef6563cf-fb22-4aa3-8b86-1429123ec3d6,6,1,6,0,1,1,94,1728,6,6,0.0041993618011474
441cd7cb-948f-4903-9238-f4eebc0a8437,4,2,0,4,1,1,87,52272,4,4,0.0064003467559814
8a3c34da-8d6b-42bc-9806-de235ce43866,7,3,3,4,2,1,37,18816,7,7,0.0155994892120361
1de442c8-d741-4118-87db-d67418b8fa2f,5,3,2,3,1,2,13,384,5,5,0.0020057678222656
65174152-92cd-4935-9ed9-89d2aa81479a,3,1,0,3,0,2,56,26136,3,3,0.0028003215789794
e8aa89c9-1a6a-4497-92aa-71e9a0ea438a,7,2,3,4,1,2,66,384,7,7,0.0032058238983154
0d2f14ff-2049-41bd-b7ce-f46914edd0a1,2,2,0,2,0,2,131,2700,2,2,0.0014002323150634
cc8b81c2-e15a-43dd-be07-90709e558e1f,7,3,2,5,1,2,13,384,7,7,0.0017998695373535
ac6fb316-04d1-41e8-89ad-0e86dcaaadec,6,1,0,6,0,2,257,37632,6,6,0.0110004901885986
df2ec713-a946-4190-9aed-eae3cb013c88,5,3,2,3,1,1,18,1536,5,5,0.0016000747680664
84bd4ae8-2d44-485e-9cf7-3542126cda5d,4,1,2,2,1,1,83,49152,4,4,0.0133998870849609
3514d4d0-5f9f-453c-a097-8bcbc0332e8f,4,2,0,4,1,1,121,10800,4,4,0.0050004005432128
4ad4dcf8-eefe-4df6-8f63-ec7e23cae4a6,4,2,4,0,1,1,101,52272,4,4,0.0059998512268066
082df579-0a9d-4294-8fb5-fd957c0964b2,3,2,2,1,0,2,69,24576,3,3,0.0085896492004394
b6075330-cb9a-43e3-a111-b04600c7fc10,6,1,5,1,1,2,199,27648,6,6,0.0066009044647216
374141aa-1b0c-4cf9-bd75-848096bc71ee,5,2,1,4,1,2,93,9600,5,5,0.0022003173828125
284e8691-362b-4b21-aadf-ef7fe8d371a9,6,3,4,2,2,1,25,161472,6,6,0.031208324432373
7f83d8a1-c269-49da-be73-696885b77205,6,1,3,3,2,0,239,1728,6,6,0.00539231300354
da16f65e-11f1-43e0-b85e-9c1cd0e3cdd3,3,2,3,0,1,1,26,4056,3,3,0.0009997367858886
f7ac101d-7b1d-4d70-b7fd-e26f6e1ecee8,5,2,0,5,1,1,113,864,5,5,0.0032009124755859
dcf98c61-850b-45ad-b366-8f3bd7956e03,4,2,2,2,0,2,81,8112,4,4,0.0014002799987792
11c6d68d-b46b-41a7-a145-4ee84bfbfb94,6,2,3,3,1,2,70,768,6,6,0.0022000312805175
